TipoAlimento,Alimento,provincia,periodo,temperatura,Ventas
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Banana,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Banana,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Banana,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Banana,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Banana,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Banana,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
