categoria,tipo,provincia,periodo,Ventas
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasModeradas
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasModeradas
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasModeradas
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasMayor
Frutas,Banana,Buenos Aires,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasMayor
Frutas,Banana,CABA,Verano,ventasMayor
Frutas,Banana,CABA,Verano,ventasMayor
Frutas,Banana,CABA,Verano,ventasMayor
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasMayor
Frutas,Banana,CABA,Verano,ventasMayor
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasMayor
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasMayor
Frutas,Banana,CABA,Verano,ventasMayor
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,CABA,Verano,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasModeradas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasMinimas
Frutas,Banana,NEUQUEN,Verano,ventasModeradas
Frutas,Banana,TUCUMAN,Verano,ventasModeradas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,ventasMinimas
